day_id	week_id	month_id
20180401	20180326-20180401	201804
20180402	20180402-20180408	201804
20180403	20180402-20180408	201804
20180404	20180402-20180408	201804
20180405	20180402-20180408	201804
20180406	20180402-20180408	201804
20180407	20180402-20180408	201804
20180408	20180402-20180408	201804
20180409	20180409-20180415	201804
20180410	20180409-20180415	201804
20180411	20180409-20180415	201804
20180412	20180409-20180415	201804
20180413	20180409-20180415	201804
20180414	20180409-20180415	201804
20180415	20180409-20180415	201804
20180416	20180416-20180422	201804
20180417	20180416-20180422	201804
20180418	20180416-20180422	201804
20180419	20180416-20180422	201804
20180420	20180416-20180422	201804
20180421	20180416-20180422	201804
20180422	20180416-20180422	201804
20180423	20180423-20180429	201804
20180424	20180423-20180429	201804
20180425	20180423-20180429	201804
20180426	20180423-20180429	201804
20180427	20180423-20180429	201804
20180428	20180423-20180429	201804
20180429	20180423-20180429	201804
20180430	20180430-20180506	201804
20180501	20180430-20180506	201805
20180502	20180430-20180506	201805
20180503	20180430-20180506	201805
20180504	20180430-20180506	201805
20180505	20180430-20180506	201805
20180506	20180430-20180506	201805
20180507	20180507-20180513	201805
20180508	20180507-20180513	201805
20180509	20180507-20180513	201805
20180510	20180507-20180513	201805
20180511	20180507-20180513	201805
20180512	20180507-20180513	201805
20180513	20180507-20180513	201805
20180514	20180514-20180520	201805
20180515	20180514-20180520	201805
20180516	20180514-20180520	201805
20180517	20180514-20180520	201805
20180518	20180514-20180520	201805
20180519	20180514-20180520	201805
20180520	20180514-20180520	201805
20180521	20180521-20180527	201805
20180522	20180521-20180527	201805
20180523	20180521-20180527	201805
20180524	20180521-20180527	201805
20180525	20180521-20180527	201805
20180526	20180521-20180527	201805
20180527	20180521-20180527	201805
20180528	20180528-20180603	201805
20180529	20180528-20180603	201805
20180530	20180528-20180603	201805
20180531	20180528-20180603	201805
